nome,rede,cidade,estado,lat,lon,telefone,email,website
GOLONO AUTO SERVICE,Bosch,LONDRINA,Paraná,-23.3228584,-51.1557829,554333246349.0,GOLONOAUTOSERVICE@HOTMAIL.COM,https://www.oficinaboschservice.com.br/golonoautoservice
INJENOVAS,Bosch,LONDRINA,Paraná,-23.3051048,-51.16119459999999,554333290060.0,injenovas@sercomtel.com.br,https://www.oficinaboschservice.com.br/injenovasautocenter
LONDON CAR AUTO SERVICO,Bosch,LONDRINA,Paraná,-23.3037145,-51.1724964,554333293004.0,LONDOCAR@HOTMAIL.COM,
Tietê,Bosch,LONDRINA,Paraná,-23.2957219,-51.17197299999999,554333770071.0,compras@grupotiete.com.br,
MELARE & MELARE LTDA,Bosch,LONDRINA,Paraná,-23.29642,-51.14673,,CONTABILIDADE@PRISMALONDRINA.COM.BR,https://www.oficinaboschservice.com.br/automecanicamelare
TIETE COMERCIO DE BATERIAS LTDA,Bosch,LONDRINA,Paraná,-23.3295051,-51.17761059999999,554399945619.0,ednac@dblbaterias.com.br,
AUTO ELETRICA JOAO,Bosch,MARECHAL CÂNDIDO RONDON,Paraná,-24.5604893,-54.056846,554532542414.0,aejoaomcr@hotmail.com,https://www.oficinaboschservice.com.br/autoeletricaemecanicajoao
Bosch Car Service - Auto Mecânica Marcão,Bosch,MARECHAL CÂNDIDO RONDON,Paraná,-24.5645093,-54.0592271,5545984173701.0,marcao.escritorio@hotmail.com,
GTS CAR,Bosch,MARINGA,Paraná,-23.4250262,-51.9617783,554432241336.0,rosa@gtscar.com.br,https://www.oficinaboschservice.com.br/gtscarautomecanica
MOTA AUTO ELETRICA,Bosch,MARINGÁ,Paraná,-23.39891,-51.926754,554430293230.0,motaautoeletrica@hotmail.com,https://www.oficinaboschservice.com.br/motaautoeletrica
POLIVEL,Bosch,MARINGÁ,Paraná,-23.4198391,-51.9276396,554432264271.0,polivel@polivel.com.br,https://www.oficinaboschservice.com.br/polivel
PNEUS MEDIANEIRA,Bosch,MEDIANEIRA,Paraná,-25.2947528,-54.0934686,554532642398.0,aripneus@msn.com,https://www.oficinaboschservice.com.br/pneusmedianeiracentrotecnicoautomotivo
Seleta Auto Peças,Bosch,PALOTINA,Paraná,-24.2820336,-53.8350307,554436495078.0,seleta_possati@hotmail.com,https://www.oficinaboschservice.com.br/seletaautopecas
V BRONDANI,Bosch,PALOTINA,Paraná,-24.2970277,-53.8357331,554436497575.0,contato@vbrondani.com.br,
MUNDIAL BOSCH CAR SERVICE,Bosch,PATO BRANCO,Paraná,-26.2421325,-52.6738249,554632242977.0,mecanicamundialbosch@gmail.com,
GOMES CENTRO AUTOMOTIVO,Bosch,PONTA GROSSA,Paraná,-25.080499,-50.20277780000001,554232273099.0,gomescentroautomotivo@gmail.com,https://www.oficinaboschservice.com.br/gomescentroautomotivo
VOLMECAR AUTO MECANICA,Bosch,SANTA HELENA,Paraná,-24.865981,-54.3380474,554532682566.0,volmecar@hotmail.com,
MECANICA M P,Bosch,SANTA ISABEL DO IVAÍ,Paraná,-23.0013183,-53.1965586,554434531434.0,MECANICAM.P@HOTMAIL.COM,https://www.oficinaboschservice.com.br/automecanicamp
Karcenter,Bosch,SANTA TEREZINHA DE ITAIPU,Paraná,-25.4450692,-54.4035068,5545999712034.0,karcentersti@hotmail.com,
LAZZERIS E DALL AGNOL LTDA,Bosch,SAO MIGUEL DO IGUACU,Paraná,-25.3431917,-54.2446606,,SCALAAUTOCENTER@HOTMAIL.COM,
ABS AUTO MECANICA,Bosch,TELÊMACO BORBA,Paraná,-24.3271336,-50.6255566,554232723050.0,alexandre.santos2005@uol.com.br,https://www.oficinaboschservice.com.br/absautopecasemecanica
ALPHA LTDA,Bosch,TERESINA,Paraná,-5.0810984,-42.774291,,davisousaapil@gmail.com,
AUTO PECAS E AUTO CENTER SAO JOSE,Bosch,TERRA RICA,Paraná,-22.7342524,-52.6228107,554434413363.0,financeiro_autopecassaojose@hotmail.com,
MECANICA DO CIDO,Bosch,TOLEDO,Paraná,-24.7241883,-53.73636450000001,554532529345.0,MECANICADOCIDO2010@HOTMAIL.COM,https://www.oficinaboschservice.com.br/mecanicadocido
ARENA MOTORS,Bosch,UMUARAMA,Paraná,-23.7657427,-53.3144432,554420209899.0,arenamotorsbcs@gmaIl.com,
MECANICA MARJOVAN LTDA,Bosch,UNIAO DA VITORIA,Paraná,-26.2228845,-51.091715,554235233300.0,mecanIcamarjovan@yahoo.com.br,
PNEU TECH,Bosch,CAMPINA GRANDE,Paraíba,-7.23447,-35.879695,558332018801.0,pneutech2018@gmail.com,
MIGUEL CENTRO AUTOMOTIVO,Bosch,JOÃO PESSOA,Paraíba,-7.0969836,-34.857782,558321793144.0,miguelcentroautomotivo.servicos@hotmail.com,
PNEU POINT AUTO SERVICOS LTDA,Bosch,PATOS,Paraíba,-7.0085965,-37.2869952,558332216422.0,rabelo20@gmail.com,
CASA DAS PECAS,Bosch,ABAETETUBA,Pará,-1.7267893,-48.87696039999999,559137512410.0,casadaspecaspa@outlook.com,https://www.oficinaboschservice.com.br/casadaspecas
AUTO CENTER CAMPIONI,Bosch,ALTAMIRA,Pará,-3.20945,-52.215687,5593991874686.0,campioniautocenter@hotmail.com,https://www.oficinaboschservice.com.br/autocentercampioni
BRASIL AUTO CENTER PECAS E,Bosch,ANAPU,Pará,-3.4715006,-51.1994938,559136941354.0,brasilautocenter2014@hotmail.com,
HANDA CAR AUTO SERVICE,Bosch,BARCARENA,Pará,-1.5199701,-48.6921911,559137542394.0,financeiro@handacar.com.br,
CASA DOS ROLAMENTOS E AUTO PECAS,Bosch,Itaituba,Pará,-4.2670933,-55.99043589999999,559335182936.0,casa_rolamento@hotmail.com,
TOP PNEUS AUTO CENTER E AUTO PECAS LTDA,Bosch,MARABA,Pará,-5.3671133,-49.1230982,,TOPPNEUSDUNLOP@GMAIL.COM,
ARAGUAIA AUTOPECAS,Bosch,MARABÁ,Pará,-5.3467514,-49.0941854,559432323232.0,AUTOPECAS@HOTMAIL.COM,https://www.oficinaboschservice.com.br/araguaiapneus
NATIVA AUTO CENTE,Bosch,NOVO PROGRESSO,Pará,-8.3177263,-55.0988004,5566996794029.0,autonativa@hotmail.com,
Pneus Castro Paragominas,Bosch,PARAGOMINAS,Pará,-2.9924603,-47.3599098,559137292000.0,contatos@pneuscastro.com.br,https://www.oficinaboschservice.com.br/pneuscastroparagominas
TECNOCARRO,Bosch,PARAGOMINAS,Pará,-2.99091,-47.37213,5591982037044.0,rh.tecnocarro@gmail.com,
Amazônia Auto Center,Bosch,PARAUAPEBAS,Pará,-6.0879383,-49.8701326,559433463419.0,ama-zoniaautocenter@hotmail.com,
DINAMICA SERVICOS E AUTO PECAS LTDA,Bosch,RONDON DO PARÁ,Pará,-2.42481,-54.7058,559433260000.0,financeiro.dinamicacentroautomotivo@hotmail.com,
AUTOMAR LTDA,Bosch,ARCOVERDE,Pernambuco,-8.4153658,-37.0774064,558738212613.0,mcautomar@gmail.com,https://www.oficinaboschservice.com.br/automar
 Belo Jardim,Bosch,BELO JARDIM,Pernambuco,-8.3428641,-36.4331641,5581992681067.0,edjamaria10@hotmail.com,
AUTO ELETRICA TREVO,Bosch,CARPINA,Pernambuco,-7.848557,-35.235253,5.581362204653622e+19,trevooficinacarpina@gmail.com,https://www.oficinaboschservice.com.br/autoeletricatrevo
PNEUSTIL COMERCIO DE,Bosch,JABOATAO DOS GUARARAPES,Pernambuco,-8.1642282,-34.931625,558134764180.0,marcos.santana@grupojhm.com.br,
Amorim Auto Peças,Bosch,OLINDA,Pernambuco,-7.9669913,-34.8381241,558134923608.0,amorimecompanhia@hotmail.com,https://www.oficinaboschservice.com.br/amorimautopecas
VIAGAS AUTO SERVICE,Bosch,OLINDA,Pernambuco,-7.9780232,-34.864861,558134930820.0,eimar@viagas.com.br,https://www.oficinaboschservice.com.br/autoserviceviagasolinda
Kadodautos Auto Center,Bosch,OURICURI,Pernambuco,-7.8733605,-40.0972771,558738742233.0,brendakawanny@gmail.com,https://www.oficinaboschservice.com.br/kadodautosautocenter
Gn Bosch Car service,Bosch,POMBOS,Pernambuco,-8.1395,-35.37687,5581993618367.0,gnboschcarservice@gmail.com,
AUTO SERVICE ABDIAS,Bosch,RECIFE,Pernambuco,-8.06224,-34.9136011,558132274001.0,eimar@viagas.com.br,
BIG CAR,Bosch,RECIFE,Pernambuco,-8.0630773,-34.9330636,558140095151.0,gustavocabralfilho@gmail.com,https://www.oficinaboschservice.com.br/bigcar
CENTROSERVICE,Bosch,RECIFE,Pernambuco,-8.0557286,-34.9220185,55558131277350.0,marcos.santana@grupojhm.com.br,
FREIO TESTE,Bosch,RECIFE,Pernambuco,-8.0371644,-34.8937732,558130334444.0,freioteste@hotmail.com,
MAXTROC,Bosch,RECIFE,Pernambuco,-8.0582625,-34.9082233,558132271828.0,maxtroc@maxtroc.com.br,
REGULEX,Bosch,RECIFE,Pernambuco,-8.0820496,-34.9233754,558134287065.0,marcelo@regulex.com.br,https://www.oficinaboschservice.com.br/regulexpecaseservicos
REGULEX,Bosch,RECIFE,Pernambuco,-8.0967977,-34.9100201,558134720005.0,adm2@regulex.com.br,https://www.oficinaboschservice.com.br/regulexmascarenhasdemorais
REGULEX PIEDADE,Bosch,RECIFE,Pernambuco,-8.1521265,-34.9103003,558138943096.0,marcelo@regulex.com.br,https://www.oficinaboschservice.com.br/regulexpremium
Injetec Reparadora,Bosch,BOM JESUS,Piauí,-9.0716878,-44.3593408,5589981241580.0,ailton.nepomuceno@hotmail.com,
Auto Car,Bosch,PARNAÍBA,Piauí,-2.9108718,-41.7733579,5.586332115153321e+19,vmachado.autocar@veloxmail.com.br,https://www.oficinaboschservice.com.br/autocar
INTEGRACAO AUTO ELETRICA,Bosch,TERESINA,Piauí,-5.1132492,-42.8055626,558632182777.0,integracao.bosch@yahoo.com.br,
Rocha Auto Center,Bosch,TERESINA,Piauí,-5.05118,-42.740493,558632313534.0,rocha_pecasservice@hotmail.com,
MULT CAR E TRUCK CENTER,Bosch,URUCUI,Piauí,-7.2896234,-44.4988471,5589994240940.0,portaldoscerrados2@gmail.com,
ELETRO DANTAS,Bosch,CAICÓ,Rio Grande do Norte,-6.461682,-37.0966825,558434211418.0,comercialeletrodantas@hotmail.com,https://www.oficinaboschservice.com.br/comercialeletrodantas
CENTER CAR,Bosch,CURRAIS NOVOS,Rio Grande do Norte,-6.2589805,-36.5126225,558434311170.0,comprascentercar@hotmail.com,https://www.oficinaboschservice.com.br/centercar
UTI DO CARRO,Bosch,MOSSORÓ,Rio Grande do Norte,-5.2043463,-37.3358278,558433122000.0,utidocarro@outlook.com,
CARBOX,Bosch,NATAL,Rio Grande do Norte,-5.8583947,-35.2136051,5.584323199663206e+19,carbox@carbox.com.br,https://www.oficinaboschservice.com.br/carbox
JM POWER CAR,Bosch,NATAL,Rio Grande do Norte,-5.8713741,-35.221373,558436435085.0,adm@jmpowercar.com.br,https://www.oficinaboschservice.com.br/jmpowercar
SERVCAR,Bosch,NATAL,Rio Grande do Norte,-5.8261425,-35.2202445,558132086821.0,servcar.adm@gmail.com,https://www.oficinaboschservice.com.br/cartec
Só Fiat Multimarcas,Bosch,NATAL,Rio Grande do Norte,-5.8483767,-35.2119705,558432068858.0,sofiatnfe@gmail.com,https://www.oficinaboschservice.com.br/sofiatmultimarcas
F PAIVA E SILVA CAVALCANTI EIRELI,Bosch,NATAL,Rio Grande do Norte,-5.8135647,-35.2167788,558420102244.0,OFICINAMULTCAR.FABIO@YAHOO.COM.BR,
MULTCAR AUTO CENTER LTDA,Bosch,NATAL,Rio Grande do Norte,-5.79994,-35.20603,558420102244.0,capsnatalcentro.multcar@gmail.com,https://www.oficinaboschservice.com.br/multcarautocenter
MULTCAR CENTRO AUTOMOTIVO,Bosch,PARNAMIRIM,Rio Grande do Norte,-5.8859113,-35.2004638,558420102244.0,OFICINAMULTCAR.FABIO@YAHOO.COM.BR,https://www.oficinaboschservice.com.br/multcar
O. R. PERES & CIA LTDA,Bosch,BAGE,Rio Grande do Sul,-31.33155099,-54.08031105,555332412173.0,miroautocentro@gmail.com,
DINAPOLLI,Bosch,BAGÉ,Rio Grande do Sul,-31.2999581,-54.0797879,555332400400.0,dinapolli@live.com,https://www.oficinaboschservice.com.br/dinapollicentroautomotivo
A.R. AUTO ELETRICA,Bosch,BENTO GONÇALVES,Rio Grande do Sul,-29.173558,-51.52254370000001,555434531751.0,arautoeletricabg@gmail.com,https://www.oficinaboschservice.com.br/arautoeletrica
MOTORCRAFT,Bosch,BENTO GONÇALVES,Rio Grande do Sul,-29.139887,-51.5277246,555437010111.0,motorcraft@hotmail.com.br,
ANDRE'S CAR,Bosch,CACHOEIRINHA,Rio Grande do Sul,-29.9408473,-51.089344,5551986023568.0,andrescar@terra.com.br,
Brock Check Car,Bosch,CAMAQUA,Rio Grande do Sul,-30.8384624,-51.8087796,555136718517.0,mecanicabrock@ibest.com.br,
QUINJALMO CENTRO DE SERVIÇOS AUTOMOTIVOS,Bosch,CAMPO BOM,Rio Grande do Sul,-29.6809929,-51.0446649,555135985588.0,quinjalmo@quinjalmo.com.br,
Catarina Auto Center,Bosch,CANOAS,Rio Grande do Sul,-29.911625,-51.18800419999999,555137856545.0,reviziautocenterjv@hotmail.com,
MECANICA GALSKI,Bosch,CANOAS,Rio Grande do Sul,-29.9050057,-51.1841759,55514725386.0,pagero@terra.com.br,https://www.oficinaboschservice.com.br/galskicentroautomotivo
MECANICA JASINSKI,Bosch,CANOAS,Rio Grande do Sul,-29.9037984,-51.1881779,555134663934.0,jasinskicastro@gmail.com,https://www.oficinaboschservice.com.br/jasinskicentroautomotivo
BOX 18 CENTRO AUTOMOTIVO LTDA,Bosch,CANOAS,Rio Grande do Sul,-29.9466184,-51.1717325,555134722927.0,glauco@autoclovis.com.br,
STEFFANI E FILHOS,Bosch,CARLOS BARBOSA,Rio Grande do Sul,-29.3066175,-51.4963087,55544611450.0,contato@steffaniefilhos.com.br,
MECANICA VALENTE,Bosch,CASCA,Rio Grande do Sul,-28.5785226,-51.9570486,55543471279.0,valente@ivovalente.com.br,https://www.oficinaboschservice.com.br/valenteguindastes
ALGICAR,Bosch,CAXIAS DO SUL,Rio Grande do Sul,-29.1607377,-51.1637718,555432288000.0,alvaro@algicar.com.br,https://www.oficinaboschservice.com.br/algicarcentroautomotivo
BV IMPORT,Bosch,CAXIAS DO SUL,Rio Grande do Sul,-29.1717111,-51.2167602,555430265000.0,financeiro@bvimport.com.br,
MECANICA PASSIONNER,Bosch,CAXIAS DO SUL,Rio Grande do Sul,-29.1529611,-51.1972345,555430289928.0,financeiro@passionner.com.br,https://www.oficinaboschservice.com.br/mecanicapassionnercaxiasdosul
MECANICA PEDROTTI,Bosch,CAXIAS DO SUL,Rio Grande do Sul,-29.1596613,-51.19559460000001,555432245456.0,contato@mecanicapedrotti.com.br,
Oficina Mecânica Chevy,Bosch,CAXIAS DO SUL,Rio Grande do Sul,-29.1559886,-51.2015359,,chevy@mecanicachevy.com.br,
MAXI COMERCIO DE CHAVES E ACESSORIOS LTD,Bosch,CAXIAS DO SUL,Rio Grande do Sul,-29.1622898,-51.1635636,,contato@maxichaves.com.br,
MECANICA MENIN LTDA.,Bosch,CAXIAS DO SUL,Rio Grande do Sul,-29.1670169,-51.1282083,5554996229252.0,MECANICAMENIN@GMAIL.COM,
N. H. MURARO & T. FORMOLO LTDA,Bosch,CAXIAS DO SUL,Rio Grande do Sul,-29.189957,-51.1971868,,nmuraro@agrele.com.br,
PLACE CAR,Bosch,DOIS IRMAOS,Rio Grande do Sul,-29.5788411,-51.0857381,555135646935.0,carloscentercar@hotmail.com,https://www.oficinaboschservice.com.br/placecar
BOER AUTO PECAS,Bosch,DOUTOR MAURÍCIO CARDOSO,Rio Grande do Sul,-27.5044354,-54.3631566,555535341166.0,boerautp.baterias@terra.com.br,https://www.oficinaboschservice.com.br/boerautopecas
ELETRICA DECO,Bosch,ERECHIM,Rio Grande do Sul,-27.6380052,-52.2885885,555433215232.0,eletricadeco@hotmail.com,https://www.oficinaboschservice.com.br/mecanicaeeletricadeco
ML MECANICA LEANDRO,Bosch,ESTEIO,Rio Grande do Sul,-29.8487252,-51.1629713,555134737143.0,mecanicaleandro@yahoo.com.br,
MECANICA WINTER,Bosch,ESTÂNCIA VELHA,Rio Grande do Sul,-29.6508096,-51.1758485,55515611822181.0,mewinter@terra.com.br,
MECANICAR,Bosch,FLORES DA CUNHA,Rio Grande do Sul,-29.0321835,-51.1728771,555432922577.0,financeiro@mecanicarfc.com.br,https://www.oficinaboschservice.com.br/mecanicarsolucõesautomotivas
Bosch Car Service - Auto Eletrica e Mecanica Chisini,Bosch,GARIBALDI,Rio Grande do Sul,-29.25731875494665,-51.5142566576691,555434626995.0,chinieletrica@hotmail.com,
Stylo Bosch car service,Bosch,GRAMADO,Rio Grande do Sul,-29.3967004,-50.88581139999999,555434225552.0,financeiro@eletromecanicastylo.com.br,
Bosch Car Service - TOKYO,Bosch,GRAVATAI,Rio Grande do Sul,-29.9396715,-51.00043549999999,555139336660.0,tokyo.oficina@gmail.com,
CSP Auto Center - Bosch Car Service,Bosch,GRAVATAI,Rio Grande do Sul,-29.934078671,-50.99833803,555130424089.0,atendimento@cspautocenter.com.br,
CACILDO AUTO SOM,Bosch,GRAVATAÍ,Rio Grande do Sul,-29.9369819,-51.0208932,55514884224.0,cacildoautosom@uol.com.br,https://www.oficinaboschservice.com.br/cacildoautocenter
SERVICE CAR,Bosch,GUAPORÉ,Rio Grande do Sul,-28.8409914,-51.8925895,5555544436444.0,rrservicecar@hotmail.com,https://www.oficinaboschservice.com.br/reroficinamecanica
MECANICA RENNER,Bosch,HUMAITÁ,Rio Grande do Sul,-27.5641793,-53.9650445,555535251000.0,MECANICA.RENNER@HOTMAIL.COM,https://www.oficinaboschservice.com.br/automecanicarenner
AUTO GIRO CENTRO AUTOMOTIVO LTDA,Bosch,IMBE,Rio Grande do Sul,-29.9238331,-50.1016116,5551991195128.0,autogirocentroautomotivo23@gmail.com,
JA Mecânica Automotiva,Bosch,ITAQUI,Rio Grande do Sul,-29.14128,-56.54242,555534331227.0,martinetto.motores@gmail.com,https://www.oficinaboschservice.com.br/jamecanicaautomotiva
JODECAR MECANICA LTDA,Bosch,IVOTI,Rio Grande do Sul,-29.6004476,-51.1644189,,jodecarmecanicaautomotiva@hotmail.com,
CENTER CAR,Bosch,LAJEADO,Rio Grande do Sul,-29.4396926,-51.9697368,5551999148012.0,contato.centercar@gmail.com,https://www.oficinaboschservice.com.br/centercarreparacaoautomotiva
MULTI AUTO,Bosch,LAJEADO,Rio Grande do Sul,-29.4550535,-51.9786473,555137102370.0,multiauto@multiauto.com.br,https://www.oficinaboschservice.com.br/multiauto
ESCUDEIRA MOTORS,Bosch,MARAU,Rio Grande do Sul,-28.4122853,-52.2082332,5554996086508.0,escuderia4x4@hotmail.com,
IBICAR,Bosch,MONTENEGRO,Rio Grande do Sul,-29.6731195,-51.4547914,555136323851.0,ibicarrs@terra.com.br,https://www.oficinaboschservice.com.br/ibicarmecanicaautopecasarcondicionado
MAZZA AUTOMOTIVE SERVICE,Bosch,NOVA PRATA,Rio Grande do Sul,-28.7791802,-51.6065787,555432422803.0,contato@mazzaautomotive.com.br,
LUDICAR,Bosch,NOVO HAMBURGO,Rio Grande do Sul,-29.6859457,-51.1470436,555135824942.0,financeiro@ludicar.com.br,https://www.oficinaboschservice.com.br/ludicar
Lehnauto Peças e Serviços,Bosch,NOVO HAMBURGO,Rio Grande do Sul,-29.6858995,-51.1305637,55515941661.0,lehnauto@lehnauto.com.br,
PH Auto Peças,Bosch,NOVO HAMBURGO,Rio Grande do Sul,-29.6504649,-51.14211290000001,555130667519.0,bcsautocarenh@gmail.com,
ZANETTI MULTI SERVICE,Bosch,NOVO HAMBURGO,Rio Grande do Sul,-29.6979711,-51.1390608,55515946083.0,mecanica.zanetti@terra.com.br,https://www.oficinaboschservice.com.br/mecanicazanetti
EDILSON,Bosch,OSÓRIO,Rio Grande do Sul,-29.8928178,-50.2784077,555121617002.0,efi.edilson@hotmail.com,
Mec Pec Peças e Serviços,Bosch,PALMARES DO SUL,Rio Grande do Sul,-30.2584562,-50.511109,555136681080.0,vkpinheiro@gmail.com,
HANDTECAR,Bosch,PANAMBI,Rio Grande do Sul,-28.2906771,-53.4991557,555533753888.0,oficina@handtecar.com.br,
RUDI CAR,Bosch,PAROBÉ,Rio Grande do Sul,-29.6294659,-50.8157868,555135436155.0,mecanicarudicar01@gmail.com,
MECANICA TONI,Bosch,PASSO FUNDO,Rio Grande do Sul,-28.25324,-52.409174,555433135729.0,mecanicatoni@hotmail.com,
Mecânica Garcia Car Center,Bosch,PASSO FUNDO,Rio Grande do Sul,-28.2671283,-52.4260016,555433141822.0,financeiro@garciaautopecas.com.br,
BARAO EXPRESS CENTRO AUTOMOTIVO,Bosch,PASSO FUNDO,Rio Grande do Sul,-28.2692518,-52.42979270000001,555421046600.0,cristina@pampaveiculos.com.br,
AC Regulagem de Motores,Bosch,PELOTAS,Rio Grande do Sul,-31.761971,-52.3470026,555330289185.0,acregulagem@gmail.com,https://www.oficinaboschservice.com.br/acregulagemdemotores
Lubrisul,Bosch,PELOTAS,Rio Grande do Sul,-31.7597513,-52.3598617,,administrativo@lubrisulrs.com.br,
" Nossa Automotive: Auto Elétrica, Oficina em Porto Alegre RS",Bosch,PORTO ALEGRE,Rio Grande do Sul,-30.0001918,-51.1907522,555185665857.0,nossaboschautocenter@gmail.com,
Auto Centro Porto Alegre,Bosch,PORTO ALEGRE,Rio Grande do Sul,-30.0429548,-51.2011556,555133323050.0,financeiro@autocentroportoalegre.com.br,
CASA DOS FREIOS ALCIDES CRUZ,Bosch,PORTO ALEGRE,Rio Grande do Sul,-30.0386638,-51.2030087,555133310487.0,freios1975@gmail.com,
CASA DOS FREIOS – LOJA DONA EUGENIA,Bosch,PORTO ALEGRE,Rio Grande do Sul,-30.0408699,-51.19990610000001,555133332063.0,casadosfreios1975@gmail.com,
CURVA DO S,Bosch,PORTO ALEGRE,Rio Grande do Sul,-30.0052334,-51.2035844,555133371315.0,financeirocurvados@gmail.com,https://www.oficinaboschservice.com.br/curvados
MECANICA LANCAR,Bosch,PORTO ALEGRE,Rio Grande do Sul,-30.0640595,-51.2063637,555132239439.0,lancar@terra.com.br,https://www.oficinaboschservice.com.br/mecanicalancar
Sul Auto Center,Bosch,PORTO ALEGRE,Rio Grande do Sul,-29.9906904,-51.127586,5551994518610.0,contato@sulautocenter.com.br,
TECNIFREIOS,Bosch,PORTO ALEGRE,Rio Grande do Sul,-30.01380069999999,-51.1641763,555133410833.0,tecnifreios@tecnifreios.com.br,https://www.oficinaboschservice.com.br/tecnifreiosmecanicadefreiosepecas
VALENCIA,Bosch,PORTO ALEGRE,Rio Grande do Sul,-30.0282932,-51.1480645,555133381937.0,valencia@valenciaautocentro.com.br,https://www.oficinaboschservice.com.br/valencia
VIPO BOSCH CAR SERVICE,Bosch,PORTO ALEGRE,Rio Grande do Sul,-29.992544,-51.1166755,555133666633.0,alexandre@grupovipo.com.br,https://www.oficinaboschservice.com.br/vipo
D BIANCO SERVICOS AUTOMOTIVOS LTDA,Bosch,PORTO ALEGRE,Rio Grande do Sul,-30.0028459,-51.1891563,555133431178.0,DANILO.MBIANCO@GAMIL.COM,https://www.oficinaboschservice.com.br/oficinapiccoliaudibmwvolvomercedesbenzlandrover
VINISCAR AUTO PECAS LTDA - EPP,Bosch,PORTO ALEGRE,Rio Grande do Sul,-30.0487875,-51.2143242,555132194695.0,viniscarfrotas@gmail.com,
VIP AUTO CENTER RS LTDA,Bosch,PORTO ALEGRE,Rio Grande do Sul,-30.1382142,-51.2197605,5551995690574.0,gerente.vipautocenterrs@gmail.com,
MECANICA FAVERO,Bosch,SALVADOR DO SUL,Rio Grande do Sul,-29.4367574,-51.508768,555136381287.0,mecanicafavero@hotmail.com,
MECANICA ZAPANETTI,Bosch,SANANDUVA,Rio Grande do Sul,-27.9437254,-51.8223767,55543432426.0,zapanetti@3enet.com.br,
CUPPINI AUTO CENTER,Bosch,SANTA CRUZ DO SUL,Rio Grande do Sul,-29.7173812,-52.4425044,555137132291.0,cuppini@cuppini.com.br,https://www.oficinaboschservice.com.br/cuppiniautocenter
AUTO ELETRICA E MECANICA LUTZ,Bosch,SANTA MARIA,Rio Grande do Sul,-29.675842,-53.8114171,555532211753.0,jelutz@terra.com.br,
BOSCH CAR SERVICE MEDIANEIRA,Bosch,SANTA MARIA,Rio Grande do Sul,-29.6988112,-53.81604,555530281343.0,ircon@brturbo.com.br,https://www.oficinaboschservice.com.br/medianeira
MECANICA CAMOBI,Bosch,SANTA MARIA,Rio Grande do Sul,-29.6942355,-53.74377699999999,555532178518.0,oficinacamobi@hotmail.com,https://www.oficinaboschservice.com.br/mecanicacamobi
MULTI TORQUE OFICINA MECANICA LTDA,Bosch,SANTA MARIA,Rio Grande do Sul,-29.712332,-53.8136434,5555999177315.0,multitorquesm@gmail.com,
IRMAOS ZIMMER,Bosch,SANTA MARIA DO HERVAL,Rio Grande do Sul,-29.5029601,-50.9756819,555135671126.0,mzimmer@sinos.net,
MAXXI PECAS & SERVICOS,Bosch,SANTA ROSA,Rio Grande do Sul,-27.8671458,-54.47370050000001,555535114141.0,maxxipecas.vendas@hotmail.com,https://www.oficinaboschservice.com.br/maxxipecas
TECNODIESEL BOMBAS INJETORAS LTDA,Bosch,SANTO ANGELO,Rio Grande do Sul,-28.306081,-54.277087,5555996456349.0,administrativo@grupotecnosiesel.com.br,
DAVILA MECANICA E ELETRICA,Bosch,SANTO ANTÔNIO DA PATRULHA,Rio Grande do Sul,-29.8321647,-50.5244124,555136623571.0,davilapecas02@hotmail.com,https://www.oficinaboschservice.com.br/mecanicaeletricaeautopecasdavila
MECANICA UTZIG,Bosch,SANTO CRISTO,Rio Grande do Sul,-27.8296562,-54.6656586,555535411690.0,am.utzig@hotmail.com,https://www.oficinaboschservice.com.br/utzigautopecas
Dismabe Automóveis,Bosch,SAO GABRIEL,Rio Grande do Sul,-30.34187399999999,-54.3225382,555532321315.0,daniel@dismabe.rs,
Cunha,Bosch,SAO LEOPOLDO,Rio Grande do Sul,-29.7612648,-51.1247353,5551997738535.0,pribresulim@gmail.com,
PH MECANICA E AUTO ELETRICA LTDA,Bosch,SAO LEOPOLDO,Rio Grande do Sul,-29.7372459,-51.15069829999999,,bcsautocaresaoleopoldo@gmail.com,
Centro Automotivo Mayer,Bosch,SAO PEDRO DO SUL,Rio Grande do Sul,-29.6232707,-54.1874335,,lucianomayer@gmail.com,
 Renato Centro de Automotivos,Bosch,SAPIRANGA,Rio Grande do Sul,-29.6448313,-51.0016697,555135993236.0,renatoauto@yahoo.com.br,https://www.oficinaboschservice.com.br/renatocentrodeautomotivostruckcenterdistribdelubrificantesrepsol
Auto Shifft,Bosch,SAPIRANGA,Rio Grande do Sul,-29.6445189,-50.9951623,5551980390808.0,autoshifft@gmail.com,
MECANICA KELLER,Bosch,Santa Cruz do Sul,Rio Grande do Sul,-29.5668799,-52.3355001,555137041202.0,mecanicakeller@yahoo.com.br,
CIA DAS PECAS,Bosch,Santa Rosa,Rio Grande do Sul,-27.8727543,-54.48134599999999,555535124820.0,financeiro1@ciadaspecas.com.br,
CABRAL SERV CENTER,Bosch,SÃO JERÔNIMO,Rio Grande do Sul,-29.9631614,-51.7260728,555136512244.0,cabralservicenter@gmail.com,
BONELLA,Bosch,SÃO MARCOS,Rio Grande do Sul,-28.9759632,-51.0673823,555432911322.0,bonellaap@brplus.com.br,
AUTOTEC MECANICA DE VEICULOS AUTOMOTORES,Bosch,SÃO MARCOS,Rio Grande do Sul,-28.9702223,-51.0563917,,autotecmecanica94@gmail.com,
